The score of this solution is 13397 found after 1018.09 seconds with total gap = 57.4752%.

The best bound obtained with the dualised problem is 8507.37.

Here is the list of activated arcs : 

Source,Target
0,3
0,13
0,16
0,18
0,60
1,25
2,45
3,11
4,68
5,52
6,41
7,32
8,4
9,61
10,46
11,1
12,63
13,20
14,0
15,9
16,57
17,35
18,21
19,8
20,10
21,40
22,19
23,50
24,7
25,59
26,27
27,23
28,12
29,51
30,0
31,65
32,54
33,49
34,29
35,0
36,26
37,17
38,31
39,15
40,69
41,62
42,36
43,34
44,5
45,64
46,22
47,6
48,44
49,43
50,38
51,42
52,53
53,14
54,0
55,56
56,28
57,33
58,66
59,24
60,47
61,58
62,39
63,67
64,55
65,30
66,0
67,37
68,48
69,2
