The score of this solution is 2511 found after 2514.54 seconds with total gap = 84.9231%.

The best bound obtained with the dualised problem is 1357.86.

Here is the list of activated arcs : 

Source,Target
0,1
0,2
0,38
0,43
0,51
0,53
1,33
2,8
3,5
4,54
5,10
6,40
7,35
8,34
9,3
10,11
11,42
12,50
13,20
14,13
15,30
16,0
17,9
18,4
19,32
20,16
21,7
22,47
23,19
24,49
25,0
26,27
27,0
28,46
29,0
30,6
31,52
32,0
33,23
34,45
35,28
36,44
37,17
38,21
39,0
40,29
41,31
42,22
43,41
44,24
45,14
46,36
47,39
48,26
49,15
50,18
51,37
52,48
53,12
54,25
