The score of this solution is 18042 found after 682.048 seconds with total gap = 157.818%.

The best bound obtained with the dualised problem is 6997.95.

Here is the list of activated arcs : 

Source,Target
0,17
0,31
0,36
0,37
0,42
0,53
0,54
1,2
2,0
3,4
4,0
5,7
6,13
7,22
8,16
9,40
10,48
11,14
12,25
13,18
14,0
15,38
16,27
17,24
18,5
19,21
20,11
21,44
22,41
23,39
24,15
25,0
26,8
27,0
28,46
29,45
30,47
31,20
32,29
33,10
34,6
35,12
36,30
37,43
38,26
39,0
40,1
41,9
42,34
43,23
44,0
45,33
46,35
47,52
48,49
49,3
50,19
51,50
52,32
53,51
54,28
