The score of this solution is 4645 found after 1000.64 seconds with total gap = 441.302%.

The best bound obtained with the dualised problem is 858.117.

Here is the list of activated arcs : 

Source,Target
0,74
0,75
0,78
0,82
0,84
0,85
0,93
0,94
1,65
2,30
3,47
4,89
5,56
6,42
7,73
8,45
9,1
10,71
11,80
12,57
13,59
14,36
15,55
16,62
17,51
18,20
19,68
20,0
21,11
22,66
23,22
24,3
25,0
26,81
27,87
28,12
29,26
30,9
31,58
32,10
33,39
34,91
35,54
36,44
37,52
38,90
39,13
40,83
41,77
42,14
43,49
44,69
45,50
46,34
47,31
48,70
49,86
50,53
51,63
52,67
53,72
54,23
55,76
56,2
57,32
58,46
59,88
60,19
61,18
62,37
63,35
64,0
65,21
66,0
67,0
68,38
69,0
70,16
71,0
72,25
73,33
74,15
75,40
76,8
77,60
78,5
79,17
80,64
81,28
82,7
83,27
84,92
85,43
86,6
87,29
88,4
89,48
90,61
91,0
92,79
93,41
94,24
