The score of this solution is 17452 found after 202.952 seconds with total gap = 125.282%.

The best bound obtained with the dualised problem is 7746.74.

Here is the list of activated arcs : 

Source,Target
0,8
0,57
0,59
0,60
0,62
0,63
0,65
0,67
0,69
0,74
1,21
2,64
3,19
4,42
5,71
6,18
7,51
8,20
9,53
10,0
11,32
12,46
13,50
14,58
15,27
16,37
17,44
18,49
19,43
20,70
21,0
22,48
23,10
24,34
25,9
26,54
27,66
28,29
29,15
30,40
31,16
32,23
33,24
34,73
35,30
36,72
37,7
38,0
39,3
40,6
41,47
42,68
43,0
44,0
45,5
46,45
47,38
48,4
49,2
50,11
51,56
52,0
53,26
54,55
55,1
56,0
57,22
58,0
59,61
60,25
61,39
62,12
63,13
64,41
65,35
66,17
67,28
68,14
69,33
70,0
71,52
72,0
73,36
74,31
