Source,Target
0,2
0,7
0,30
0,47
0,51
0,54
0,56
0,65
0,66
1,36
2,69
3,5
4,62
5,78
6,0
7,0
8,9
9,29
10,48
11,0
12,0
13,67
14,70
15,11
16,38
17,32
18,58
19,3
20,17
21,0
22,10
23,6
24,0
25,16
26,37
27,75
28,25
29,27
30,79
31,21
32,64
33,4
34,23
35,61
36,34
37,0
38,57
39,35
40,50
41,72
42,13
43,55
44,22
45,63
46,31
47,33
48,53
49,41
50,44
51,19
52,0
53,0
54,42
55,73
56,68
57,12
58,15
59,45
60,24
61,76
62,77
63,52
64,59
65,14
66,20
67,1
68,74
69,8
70,39
71,28
72,43
73,60
74,71
75,26
76,40
77,18
78,46
79,49
