The score of this solution is 43348 found after 715.112 seconds with total gap = 396.825%.

The best bound obtained with the dualised problem is 8725.01.

Here is the list of activated arcs : 

Source,Target
0,2
0,5
0,9
0,14
0,17
0,21
0,23
0,24
0,25
0,29
0,41
0,43
0,48
0,50
0,59
0,60
0,63
0,67
0,70
0,72
0,73
0,79
0,80
0,81
0,84
0,86
0,87
0,93
1,53
2,89
3,0
4,0
5,39
6,90
7,46
8,0
9,8
10,0
11,28
12,0
13,19
14,51
15,0
16,0
17,30
18,4
19,71
20,0
21,10
22,0
23,42
24,27
25,40
26,77
27,15
28,0
29,38
30,55
31,68
32,94
33,36
34,0
35,0
36,66
37,0
38,34
39,1
40,12
41,83
42,0
43,11
44,18
45,31
46,78
47,35
48,62
49,82
50,45
51,49
52,0
53,20
54,0
55,47
56,0
57,0
58,0
59,6
60,33
61,22
62,0
63,32
64,0
65,64
66,0
67,57
68,37
69,56
70,61
71,0
72,26
73,44
74,92
75,13
76,88
77,3
78,0
79,69
80,16
81,75
82,0
83,91
84,76
85,7
86,65
87,85
88,0
89,52
90,0
91,58
92,54
93,74
94,0
