The score of this solution is 30855 found after 207.474 seconds with total gap = 253.639%.

The best bound obtained with the dualised problem is 8725.01.

Here is the list of activated arcs : 

Source,Target
0,13
0,14
0,16
0,23
0,24
0,28
0,33
0,36
0,40
0,47
0,49
0,54
0,55
0,56
0,67
0,69
0,70
0,71
0,72
0,73
0,76
0,77
0,80
0,81
0,84
0,89
0,94
1,0
2,0
3,8
4,0
5,82
6,12
7,85
8,0
9,58
10,21
11,43
12,0
13,63
14,91
15,75
16,65
17,0
18,86
19,37
20,0
21,46
22,79
23,42
24,4
25,0
26,59
27,15
28,11
29,20
30,60
31,68
32,0
33,9
34,0
35,22
36,66
37,2
38,0
39,1
40,32
41,10
42,0
43,0
44,0
45,31
46,0
47,41
48,0
49,5
50,17
51,3
52,0
53,57
54,61
55,7
56,51
57,0
58,0
59,0
60,0
61,29
62,48
63,25
64,0
65,64
66,74
67,34
68,18
69,53
70,35
71,19
72,26
73,38
74,93
75,0
76,88
77,45
78,62
79,0
80,78
81,27
82,6
83,90
84,30
85,39
86,44
87,0
88,87
89,52
90,0
91,83
92,0
93,92
94,50
