The score of this solution is 18351 found after 704.824 seconds with total gap = 84.1072%.

The best bound obtained with the dualised problem is 9967.56.

Here is the list of activated arcs : 

Source,Target
0,33
0,47
0,50
0,68
0,76
0,82
1,78
2,71
3,16
4,42
5,69
6,15
7,37
8,30
9,31
10,83
11,45
12,48
13,53
14,19
15,24
16,70
17,41
18,64
19,0
20,65
21,54
22,9
23,39
24,75
25,26
26,21
27,36
28,6
29,58
30,29
31,13
32,73
33,0
34,20
35,66
36,10
37,3
38,25
39,79
40,28
41,0
42,81
43,84
44,63
45,35
46,49
47,55
48,27
49,74
50,23
51,46
52,18
53,5
54,72
55,80
56,44
57,11
58,1
59,14
60,32
61,52
62,17
63,8
64,57
65,59
66,0
67,51
68,67
69,43
70,2
71,62
72,0
73,40
74,77
75,22
76,7
77,56
78,38
79,60
80,4
81,61
82,12
83,34
84,0
