Source,Target
0,11
0,14
0,18
0,25
0,29
0,32
0,35
0,36
0,40
1,6
2,3
3,0
4,28
5,12
6,0
7,5
8,38
9,33
10,15
11,41
12,0
13,20
14,30
15,0
16,17
17,0
18,16
19,13
20,0
21,7
22,1
23,27
24,37
25,34
26,42
27,39
28,8
29,21
30,4
31,19
32,24
33,2
34,10
35,44
36,43
37,23
38,22
39,0
40,0
41,9
42,0
43,31
44,26
