The score of this solution is 3059 found after 1000.33 seconds with total gap = 173.557%.

The best bound obtained with the dualised problem is 1118.23.

Here is the list of activated arcs : 

Source,Target
0,29
0,44
0,45
0,65
0,66
0,71
1,24
2,23
3,0
4,64
5,61
6,69
7,25
8,70
9,57
10,17
11,54
12,35
13,68
14,12
15,14
16,53
17,50
18,72
19,32
20,10
21,39
22,37
23,59
24,49
25,28
26,43
27,38
28,46
29,15
30,19
31,55
32,0
33,58
34,27
35,41
36,8
37,3
38,31
39,4
40,73
41,56
42,47
43,22
44,51
45,0
46,40
47,5
48,74
49,52
50,0
51,11
52,48
53,67
54,0
55,30
56,42
57,62
58,13
59,9
60,6
61,16
62,20
63,1
64,26
65,7
66,18
67,0
68,21
69,2
70,33
71,36
72,63
73,60
74,34
