The score of this solution is 15020 found after 11.9595 seconds with total gap = 114.634%.

The best bound obtained with the dualised problem is 6997.95.

Here is the list of activated arcs : 

Source,Target
0,3
0,8
0,16
0,30
0,32
0,40
0,43
0,51
1,54
2,0
3,33
4,10
5,18
6,34
7,0
8,52
9,2
10,22
11,41
12,0
13,27
14,13
15,26
16,20
17,44
18,39
19,37
20,11
21,0
22,49
23,14
24,21
25,12
26,38
27,0
28,35
29,5
30,19
31,0
32,29
33,4
34,42
35,31
36,17
37,47
38,0
39,6
40,1
41,9
42,45
43,15
44,23
45,0
46,25
47,46
48,7
49,48
50,36
51,50
52,53
53,24
54,28
