The score of this solution is 555 found after 1000.13 seconds with total gap = 104.942%.

The best bound obtained with the dualised problem is 1137.43.

Here is the list of activated arcs : 

Source,Target
0,3
0,26
0,29
0,33
0,52
0,56
1,37
2,16
3,22
4,7
5,47
6,38
7,18
8,40
9,36
10,1
11,58
12,59
13,44
14,0
15,51
16,10
17,13
18,0
19,20
20,62
21,55
22,9
23,42
24,43
25,8
26,49
27,5
28,35
29,41
30,0
31,30
32,45
33,6
34,63
35,0
36,24
37,4
38,2
39,61
40,48
41,15
42,60
43,21
44,23
45,0
46,39
47,53
48,46
49,25
50,28
51,57
52,54
53,19
54,27
55,50
56,17
57,12
58,64
59,11
60,32
61,34
62,31
63,14
64,0
