The score of this solution is 23454 found after 1487.57 seconds with total gap = 135.303%.

The best bound obtained with the dualised problem is 9967.56.

Here is the list of activated arcs : 

Source,Target
0,7
0,14
0,33
0,71
1,2
2,6
3,5
4,9
5,0
6,0
7,62
8,58
9,0
10,27
11,61
12,82
13,53
14,17
15,75
16,37
17,70
18,52
19,0
20,21
21,29
22,15
23,79
24,81
25,34
26,72
27,36
28,73
29,30
30,25
31,69
32,18
33,40
34,54
35,31
36,48
37,3
38,78
39,23
40,28
41,57
42,24
43,84
44,63
45,35
46,77
47,80
48,55
49,67
50,41
51,46
52,42
53,68
54,26
55,13
56,44
57,64
58,38
59,20
60,32
61,19
62,66
63,12
64,47
65,59
66,45
67,51
68,43
69,65
70,39
71,10
72,83
73,11
74,49
75,4
76,16
77,56
78,1
79,50
80,74
81,22
82,8
83,76
84,60
