The score of this solution is 3333 found after 943.998 seconds with total gap = 193.029%.

The best bound obtained with the dualised problem is 1137.43.

Here is the list of activated arcs : 

Source,Target
0,6
0,10
0,19
0,35
0,39
0,49
1,0
2,16
3,34
4,31
5,48
6,50
7,18
8,40
9,55
10,7
11,8
12,58
13,44
14,22
15,30
16,51
17,0
18,38
19,20
20,62
21,5
22,32
23,42
24,43
25,57
26,12
27,28
28,13
29,41
30,25
31,29
32,9
33,21
34,63
35,54
36,24
37,1
38,2
39,33
40,0
41,59
42,37
43,56
44,23
45,0
46,36
47,52
48,46
49,4
50,3
51,15
52,61
53,0
54,27
55,45
56,47
57,64
58,60
59,11
60,17
61,53
62,26
63,14
64,0
