The score of this solution is 3861 found after 17.1056 seconds with total gap = 245.278%.

The best bound obtained with the dualised problem is 1118.23.

Here is the list of activated arcs : 

Source,Target
0,9
0,18
0,26
0,29
0,34
0,41
0,53
1,72
2,50
3,0
4,65
5,44
6,59
7,67
8,46
9,28
10,63
11,0
12,2
13,64
14,0
15,0
16,6
17,7
18,10
19,71
20,51
21,66
22,69
23,36
24,49
25,0
26,68
27,38
28,20
29,15
30,56
31,5
32,13
33,58
34,60
35,57
36,25
37,22
38,47
39,16
40,0
41,39
42,23
43,32
44,3
45,11
46,30
47,31
48,24
49,19
50,8
51,12
52,21
53,35
54,74
55,4
56,0
57,61
58,55
59,33
60,17
61,1
62,27
63,45
64,42
65,43
66,14
67,37
68,70
69,40
70,54
71,52
72,73
73,62
74,48
