The score of this solution is 3922 found after 600.023 seconds with total gap = 244.813%.

The best bound obtained with the dualised problem is 1137.43.

Here is the list of activated arcs : 

Source,Target
0,46
0,47
0,50
0,52
0,55
0,61
1,2
2,16
3,5
4,10
5,0
6,7
7,0
8,40
9,13
10,1
11,58
12,26
13,0
14,22
15,9
16,34
17,63
18,17
19,51
20,33
21,60
22,8
23,42
24,43
25,14
26,0
27,56
28,11
29,30
30,31
31,23
32,45
33,28
34,0
35,53
36,24
37,4
38,18
39,15
40,48
41,27
42,37
43,41
44,62
45,20
46,32
47,44
48,6
49,25
50,21
51,0
52,49
53,19
54,35
55,29
56,57
57,3
58,39
59,12
60,36
61,54
62,64
63,59
64,38
