The score of this solution is 19302 found after 1665.35 seconds with total gap = 126.886%.

The best bound obtained with the dualised problem is 8507.37.

Here is the list of activated arcs : 

Source,Target
0,6
0,55
0,56
0,61
1,2
2,0
3,32
4,5
5,0
6,30
7,24
8,19
9,10
10,0
11,3
12,28
13,49
14,11
15,51
16,36
17,44
18,40
19,20
20,68
21,18
22,8
23,66
24,1
25,48
26,42
27,26
28,37
29,34
30,65
31,38
32,7
33,23
34,43
35,17
36,46
37,67
38,50
39,62
40,57
41,60
42,29
43,22
44,52
45,69
46,13
47,45
48,0
49,33
50,27
51,47
52,14
53,54
54,59
55,39
56,64
57,16
58,9
59,25
60,21
61,15
62,41
63,12
64,53
65,31
66,58
67,35
68,4
69,63
