The score of this solution is 26642 found after 1279.91 seconds with total gap = 189.243%.

The best bound obtained with the dualised problem is 9210.94.

Here is the list of activated arcs : 

Source,Target
0,12
0,43
0,53
0,54
0,59
0,66
0,75
0,79
1,3
2,7
3,0
4,11
5,0
6,33
7,5
8,17
9,29
10,44
11,0
12,68
13,14
14,0
15,19
16,71
17,0
18,57
19,51
20,24
21,37
22,25
23,47
24,0
25,0
26,27
27,21
28,16
29,8
30,39
31,46
32,31
33,56
34,1
35,61
36,67
37,9
38,74
39,0
40,76
41,72
42,6
43,65
44,48
45,41
46,20
47,4
48,28
49,52
50,10
51,13
52,63
53,40
54,36
55,73
56,77
57,23
58,18
59,45
60,49
61,22
62,69
63,30
64,32
65,50
66,26
67,42
68,58
69,2
70,78
71,38
72,35
73,64
74,34
75,60
76,70
77,62
78,15
79,55
