The score of this solution is 12887 found after 2519.5 seconds with total gap = 84.1538%.

The best bound obtained with the dualised problem is 6997.95.

Here is the list of activated arcs : 

Source,Target
0,5
0,18
0,19
0,31
0,32
0,50
0,51
0,52
1,40
2,0
3,41
4,3
5,22
6,34
7,45
8,0
9,0
10,33
11,20
12,8
13,14
14,0
15,38
16,53
17,44
18,39
19,30
20,1
21,36
22,10
23,13
24,0
25,12
26,27
27,0
28,37
29,11
30,17
31,35
32,29
33,4
34,42
35,54
36,43
37,47
38,26
39,6
40,9
41,2
42,7
43,15
44,23
45,48
46,0
47,46
48,49
49,0
50,21
51,16
52,25
53,24
54,28
