The score of this solution is 18266 found after 1020.89 seconds with total gap = 98.3077%.

The best bound obtained with the dualised problem is 9210.94.

Here is the list of activated arcs : 

Source,Target
0,37
0,45
0,62
0,66
0,71
0,74
0,75
0,76
0,79
1,13
2,56
3,0
4,47
5,19
6,23
7,2
8,29
9,0
10,44
11,18
12,33
13,0
14,78
15,11
16,28
17,59
18,3
19,65
20,31
21,0
22,50
23,42
24,52
25,48
26,27
27,69
28,25
29,9
30,0
31,51
32,64
33,4
34,1
35,61
36,67
37,7
38,57
39,35
40,0
41,17
42,36
43,41
44,22
45,60
46,5
47,0
48,10
49,55
50,53
51,46
52,63
53,0
54,6
55,32
56,77
57,68
58,15
59,0
60,24
61,72
62,54
63,21
64,73
65,14
66,20
67,34
68,58
69,8
70,40
71,16
72,43
73,30
74,38
75,26
76,39
77,12
78,70
79,49
