The score of this solution is 12914 found after 304.353 seconds with total gap = 51.7978%.

The best bound obtained with the dualised problem is 8507.37.

Here is the list of activated arcs : 

Source,Target
0,10
0,22
0,45
0,64
1,14
2,69
3,54
4,68
5,52
6,0
7,24
8,4
9,66
10,20
11,1
12,2
13,49
14,44
15,39
16,6
17,35
18,21
19,8
20,19
21,47
22,46
23,50
24,59
25,11
26,36
27,23
28,12
29,51
30,65
31,58
32,7
33,57
34,29
35,67
36,27
37,17
38,31
39,62
40,18
41,0
42,26
43,34
44,5
45,56
46,43
47,60
48,37
49,33
50,38
51,42
52,53
53,0
54,32
55,3
56,55
57,30
58,61
59,25
60,0
61,9
62,41
63,13
64,28
65,16
66,15
67,63
68,48
69,40
