The score of this solution is 9982 found after 1000.22 seconds with total gap = -14.7729%.

The best bound obtained with the dualised problem is 8507.37.

Here is the list of activated arcs : 

Source,Target
0,10
0,18
0,22
0,69
1,11
2,12
3,14
4,68
5,52
6,47
7,24
8,4
9,66
10,20
11,3
12,55
13,49
14,5
15,65
16,6
17,37
18,63
19,8
20,19
21,40
22,46
23,50
24,59
25,1
26,27
27,23
28,64
29,51
30,39
31,58
32,7
33,57
34,29
35,67
36,26
37,35
38,31
39,62
40,0
41,0
42,36
43,34
44,17
45,0
46,43
47,60
48,44
49,33
50,38
51,42
52,53
53,45
54,32
55,54
56,21
57,16
58,61
59,25
60,0
61,9
62,41
63,13
64,56
65,30
66,15
67,28
68,48
69,2
